file,concept,rank,score,var_name,var_label
cfps2010adult_202008.dta,Y_ag_output,1,3,qg4,您现在主要从事农业工作吗
cfps2010adult_202008.dta,Y_ag_output,2,3,qh1,去年，您有几个月从事农业劳动
cfps2010adult_202008.dta,Y_ag_output,3,3,qh2,去年，在从事农业劳动的月份，您平均每月劳动几天
cfps2010adult_202008.dta,Y_ag_output,4,3,qh3,去年，在从事农业劳动的月份，您平均每天劳动几小时
cfps2010adult_202008.dta,Y_ag_output,5,3,qh4,除了农业劳动，您现在是否还从事其他有薪酬的非农业劳动
cfps2010adult_202008.dta,Y_ag_output,6,2,qn301_a_7,您关注的频率如何：农业/农村
cfps2010adult_202008.dta,Y_ag_output,7,1,kr5,请问您上的是哪类大专
cfps2010adult_202008.dta,Y_ag_output,8,1,kr6,请问您现在上的是哪类本科
cfps2010adult_202008.dta,Y_ag_output,9,1,kr601,请问您现在所学专业属于哪个学科
cfps2010adult_202008.dta,Y_ag_output,10,1,kr801,请问您现在所学专业属于哪个学科
cfps2010adult_202008.dta,Y_ag_output,11,1,ks901,您去年的教育支出（元）：学杂费
cfps2010adult_202008.dta,Y_ag_output,12,1,ks902,您去年的教育支出（元）：书本费
cfps2010adult_202008.dta,Y_ag_output,13,1,ks903,您去年的教育支出（元）：课外辅导/家教费
cfps2010adult_202008.dta,Y_ag_output,14,1,ks904,您去年的教育支出（元）：住宿费
cfps2010adult_202008.dta,Y_ag_output,15,1,ks905,您去年的教育支出（元）：交通费
cfps2010adult_202008.dta,Y_ag_output,16,1,ks906,您去年的教育支出（元）：其他费用
cfps2010adult_202008.dta,Y_ag_output,17,1,ks90total,您去年的教育支出合计(元)
cfps2010adult_202008.dta,Y_ag_output,18,1,ks910,您去年的教育支出（元）：所有费用中，家庭支付的为多少
cfps2010adult_202008.dta,Y_ag_output,19,1,ku1,您是否使用或使用过手机
cfps2010adult_202008.dta,Y_ag_output,20,1,ku101,您现在使用/之前使用的是自己的手机吗
cfps2010adult_202008.dta,Y_ag_output,21,1,ku102,非假期，您平均每月的手机费大概是多少钱（元）
cfps2010adult_202008.dta,Y_ag_output,22,1,ku301,使用互联网络：娱乐
cfps2010adult_202008.dta,Y_ag_output,23,1,ku302,使用互联网络：学习
cfps2010adult_202008.dta,Y_ag_output,24,1,ku303,使用互联网络：工作
cfps2010adult_202008.dta,Y_ag_output,25,1,ku304,使用互联网络：社交
cfps2010adult_202008.dta,K_fixed_asset,1,1,kr5,请问您上的是哪类大专
cfps2010adult_202008.dta,K_fixed_asset,2,1,kr6,请问您现在上的是哪类本科
cfps2010adult_202008.dta,K_fixed_asset,3,1,kr601,请问您现在所学专业属于哪个学科
cfps2010adult_202008.dta,K_fixed_asset,4,1,kr801,请问您现在所学专业属于哪个学科
cfps2010adult_202008.dta,K_fixed_asset,5,1,ks901,您去年的教育支出（元）：学杂费
cfps2010adult_202008.dta,K_fixed_asset,6,1,ks902,您去年的教育支出（元）：书本费
cfps2010adult_202008.dta,K_fixed_asset,7,1,ks903,您去年的教育支出（元）：课外辅导/家教费
cfps2010adult_202008.dta,K_fixed_asset,8,1,ks904,您去年的教育支出（元）：住宿费
cfps2010adult_202008.dta,K_fixed_asset,9,1,ks905,您去年的教育支出（元）：交通费
cfps2010adult_202008.dta,K_fixed_asset,10,1,ks906,您去年的教育支出（元）：其他费用
cfps2010adult_202008.dta,K_fixed_asset,11,1,ks90total,您去年的教育支出合计(元)
cfps2010adult_202008.dta,K_fixed_asset,12,1,ks910,您去年的教育支出（元）：所有费用中，家庭支付的为多少
cfps2010adult_202008.dta,K_fixed_asset,13,1,ku1,您是否使用或使用过手机
cfps2010adult_202008.dta,K_fixed_asset,14,1,ku101,您现在使用/之前使用的是自己的手机吗
cfps2010adult_202008.dta,K_fixed_asset,15,1,ku102,非假期，您平均每月的手机费大概是多少钱（元）
cfps2010adult_202008.dta,K_fixed_asset,16,1,ku301,使用互联网络：娱乐
cfps2010adult_202008.dta,K_fixed_asset,17,1,ku302,使用互联网络：学习
cfps2010adult_202008.dta,K_fixed_asset,18,1,ku303,使用互联网络：工作
cfps2010adult_202008.dta,K_fixed_asset,19,1,ku304,使用互联网络：社交
cfps2010adult_202008.dta,K_fixed_asset,20,1,ku305,使用互联网络：和网友说心里话
cfps2010adult_202008.dta,K_fixed_asset,21,1,ku306,使用互联网络：寻求网友的情感支持
cfps2010adult_202008.dta,K_fixed_asset,22,1,ku307,使用互联网络：寻求网友的专业帮助
cfps2010adult_202008.dta,K_fixed_asset,23,1,ku308,使用互联网络：解闷
cfps2010adult_202008.dta,K_fixed_asset,24,1,ku601,适合您的情况：在网上认识新朋友后，会通过手机进一步联系
cfps2010adult_202008.dta,K_fixed_asset,25,1,qa1age,自动计算年龄
cfps2010adult_202008.dta,L_labor,1,3,qg302,离/退休后您继续从事工作或劳动的原因
cfps2010adult_202008.dta,L_labor,2,3,qg403,去年工作的天数里，您平均每天工作了多少小时
cfps2010adult_202008.dta,L_labor,3,3,qh1,去年，您有几个月从事农业劳动
cfps2010adult_202008.dta,L_labor,4,3,qh2,去年，在从事农业劳动的月份，您平均每月劳动几天
cfps2010adult_202008.dta,L_labor,5,3,qh3,去年，在从事农业劳动的月份，您平均每天劳动几小时
cfps2010adult_202008.dta,L_labor,6,3,qh4,除了农业劳动，您现在是否还从事其他有薪酬的非农业劳动
cfps2010adult_202008.dta,L_labor,7,3,qh411,您平均每月能从这一非农劳动中获取的收入有多少元
cfps2010adult_202008.dta,L_labor,8,3,qk106,去年，其他劳动收入合计（元）
cfps2010adult_202008.dta,L_labor,9,2,qg101_a_3,到干校劳动：哪年开始的
cfps2010adult_202008.dta,L_labor,10,2,qg102_a_3,到干校劳动：到哪年结束的
cfps2010adult_202008.dta,L_labor,11,1,kr5,请问您上的是哪类大专
cfps2010adult_202008.dta,L_labor,12,1,kr6,请问您现在上的是哪类本科
cfps2010adult_202008.dta,L_labor,13,1,kr601,请问您现在所学专业属于哪个学科
cfps2010adult_202008.dta,L_labor,14,1,kr801,请问您现在所学专业属于哪个学科
cfps2010adult_202008.dta,L_labor,15,1,ks901,您去年的教育支出（元）：学杂费
cfps2010adult_202008.dta,L_labor,16,1,ks902,您去年的教育支出（元）：书本费
cfps2010adult_202008.dta,L_labor,17,1,ks903,您去年的教育支出（元）：课外辅导/家教费
cfps2010adult_202008.dta,L_labor,18,1,ks904,您去年的教育支出（元）：住宿费
cfps2010adult_202008.dta,L_labor,19,1,ks905,您去年的教育支出（元）：交通费
cfps2010adult_202008.dta,L_labor,20,1,ks906,您去年的教育支出（元）：其他费用
cfps2010adult_202008.dta,L_labor,21,1,ks90total,您去年的教育支出合计(元)
cfps2010adult_202008.dta,L_labor,22,1,ks910,您去年的教育支出（元）：所有费用中，家庭支付的为多少
