variable,n,mean,std,min,max
lnTFP,9031,-8.522421563230435e-15,0.9797488029860807,-10.421389636772611,7.666578810291712
AI_Index,29454,-2.5088763671844375e-17,1.0000169754283088,-7.049325913767772,3.8133951868698386
age,20183,50.210969627904674,13.15333763418462,10.0,95.0
edu,11513,7.108486059237384,4.204070598803392,0.0,22.0
health,23676,3.167004561581348,1.295099429687737,1.0,7.0
train,4589,0.07910220091523208,0.2699276199715207,0.0,1.0
Y,31610,12501.498156393302,42128.20736396325,0.0,3000000.0
K,37291,47730.700994054976,603634.7421677033,0.0,55000000.0
M,31123,9873.501680429265,34952.07165721677,0.0,3000000.0
L_cost,31100,900.8762057877814,6483.832489572371,0.0,200000.0
income,23297,37938.35867279049,84244.29051032044,0.0,5500000.0
asset,42812,365415.97405498085,1184938.3235642929,-79916375.0,55260000.0
