file,var_name,var_label,matched_keywords
cfps2010adult_202008.dta,qa1age,自动计算年龄,年龄
cfps2010adult_202008.dta,qb303b_a_1,姓名1：年龄,年龄
cfps2010adult_202008.dta,qb303b_a_2,姓名2：年龄,年龄
cfps2010adult_202008.dta,qb303b_a_3,姓名3：年龄,年龄
cfps2010adult_202008.dta,qb303b_a_4,姓名4：年龄,年龄
cfps2010adult_202008.dta,qb303b_a_5,姓名5：年龄,年龄
cfps2010adult_202008.dta,qb303b_a_6,姓名6：年龄,年龄
cfps2010adult_202008.dta,qb303b_a_7,姓名7：年龄,年龄
cfps2010adult_202008.dta,qb303b_a_8,姓名8：年龄,年龄
cfps2010adult_202008.dta,qb303b_a_9,姓名9：年龄,年龄
cfps2010adult_202008.dta,qb303b_a_10,姓名10：年龄,年龄
cfps2010adult_202008.dta,qb303b_a_11,姓名11：年龄,年龄
cfps2010adult_202008.dta,qb303b_a_12,姓名12：年龄,年龄
cfps2010adult_202008.dta,qb303b_a_13,姓名13：年龄,年龄
cfps2010adult_202008.dta,qb303b_a_14,姓名14：年龄,年龄
cfps2010adult_202008.dta,qb303b_a_15,姓名15：年龄,年龄
cfps2010adult_202008.dta,qc8,您认为自己最少应该念完哪种教育程度,教育
cfps2010adult_202008.dta,ks901,您去年的教育支出（元）：学杂费,教育
cfps2010adult_202008.dta,ks902,您去年的教育支出（元）：书本费,教育
cfps2010adult_202008.dta,ks903,您去年的教育支出（元）：课外辅导/家教费,教育
cfps2010adult_202008.dta,ks904,您去年的教育支出（元）：住宿费,教育
cfps2010adult_202008.dta,ks905,您去年的教育支出（元）：交通费,教育
cfps2010adult_202008.dta,ks906,您去年的教育支出（元）：其他费用,教育
cfps2010adult_202008.dta,ks90total,您去年的教育支出合计(元),教育
cfps2010adult_202008.dta,ks910,您去年的教育支出（元）：所有费用中，家庭支付的为多少,教育
cfps2010adult_202008.dta,kt3_a_1,工作日：学习培训（小计）,培训
cfps2010adult_202008.dta,kt301_a_1,工作日：正规教育,教育
cfps2010adult_202008.dta,kt302_a_1,工作日：作业与复习等与正规教育有关活动,教育
cfps2010adult_202008.dta,kt303_a_1,工作日：业余学习和非正规教育,教育
cfps2010adult_202008.dta,kt403_a_1,工作日：使用互联网娱乐,__digital__;互联网
cfps2010adult_202008.dta,kt3_a_2,休息日：学习培训（小计）,培训
cfps2010adult_202008.dta,kt301_a_2,休息日：正规教育,教育
cfps2010adult_202008.dta,kt302_a_2,休息日：作业与复习等与正规教育有关活动,教育
cfps2010adult_202008.dta,kt303_a_2,休息日：业余学习和非正规教育,教育
cfps2010adult_202008.dta,kt403_a_2,休息日：使用互联网娱乐,__digital__;互联网
cfps2010adult_202008.dta,ku1,您是否使用或使用过手机,__digital__;手机
cfps2010adult_202008.dta,ku101,您现在使用/之前使用的是自己的手机吗,__digital__;手机
cfps2010adult_202008.dta,ku102,非假期，您平均每月的手机费大概是多少钱（元）,__digital__;手机
cfps2010adult_202008.dta,ku103_s_1,非假期，您是否使用手机以下各项功能：选择1,__digital__;手机
cfps2010adult_202008.dta,ku103_s_2,非假期，您是否使用手机以下各项功能：选择2,__digital__;手机
cfps2010adult_202008.dta,ku103_s_3,非假期，您是否使用手机以下各项功能：选择3,__digital__;手机
cfps2010adult_202008.dta,ku103_s_4,非假期，您是否使用手机以下各项功能：选择4,__digital__;手机
cfps2010adult_202008.dta,ku103_s_5,非假期，您是否使用手机以下各项功能：选择5,__digital__;手机
cfps2010adult_202008.dta,ku104_a_1,非假期，您使用手机打电话的频率大概是,__digital__;手机
cfps2010adult_202008.dta,ku104_a_2,非假期，您使用手机发信息的频率大概是,__digital__;手机
cfps2010adult_202008.dta,ku104_a_3,非假期，您使用手机玩游戏的频率大概是,__digital__;手机
cfps2010adult_202008.dta,ku104_a_4,非假期，您使用手机听音乐的频率大概是,__digital__;手机
cfps2010adult_202008.dta,ku104_a_5,非假期，您使用手机上网的频率大概是,__digital__;上网;手机
cfps2010adult_202008.dta,ku2,您是否上网,__digital__;上网
cfps2010adult_202008.dta,ku250,最近非假期的一个月内，您平均每天上网的时间约为（小时）,__digital__;上网
cfps2010adult_202008.dta,ku260,您主要在哪里上网,__digital__;上网
cfps2010adult_202008.dta,ku301,使用互联网络：娱乐,__digital__;互联网;网络
cfps2010adult_202008.dta,ku302,使用互联网络：学习,__digital__;互联网;网络
cfps2010adult_202008.dta,ku303,使用互联网络：工作,__digital__;互联网;网络
cfps2010adult_202008.dta,ku304,使用互联网络：社交,__digital__;互联网;社交;网络
