file,var_name,var_label,value_labels_keys,matched_keywords
cfps2010adult_202008.dta,pid,个人id,"{-10: '无法判断', -9: '缺失', -8: '不适用', -2: '拒绝回答', -1: '不知道'}",id;pid
cfps2010adult_202008.dta,fid,家庭样本代码,"{-10: '无法判断', -9: '缺失', -8: '不适用', -2: '拒绝回答', -1: '不知道'}",fid;id
cfps2010adult_202008.dta,cid,村居样本代码,"{-10: '无法判断', -9: '缺失', -8: '不适用', -2: '拒绝回答', -1: '不知道'}",id
cfps2010adult_202008.dta,countyid,区县顺序码,"{-10: '无法判断', -9: '缺失', -8: '不适用', -2: '拒绝回答', -1: '不知道'}",id
cfps2010adult_202008.dta,qa1age,自动计算年龄,"{-10: '无法判断', -9: '缺失', -8: '不适用', -2: '拒绝回答', -1: '不知道'}",年龄
cfps2010adult_202008.dta,qa2,您现在的户口状况是,"{-10: '无法判断', -9: '缺失', -8: '不适用', -2: '拒绝回答', -1: '不知道', 1: '农业户口', 3: '非农业户口', 5: '没有户口', 79: '非中国国籍'}",__fuzzy__
cfps2010adult_202008.dta,qa302,您3岁时户口状况是,"{-10: '无法判断', -9: '缺失', -8: '不适用', -2: '拒绝回答', -1: '不知道', 1: '农业户口', 3: '非农业户口', 5: '没有户口', 79: '非中国国籍'}",__fuzzy__
cfps2010adult_202008.dta,qa402,您12岁时户口状况是,"{-10: '无法判断', -9: '缺失', -8: '不适用', -2: '拒绝回答', -1: '不知道', 1: '农业户口', 3: '非农业户口', 5: '没有户口', 79: '非中国国籍'}",__fuzzy__
cfps2010adult_202008.dta,qa7_s_1,您参加了以下哪些组织：选择1,"{-10: '无法判断', -9: '缺失', -8: '不适用', -2: '拒绝回答', -1: '不知道', 1: '中国共产党', 2: '民主党派', 3: '县/区和县/区级以上人大（代表）', 4: '县/区和县/区级以上政协（委员）', 5: '工会', 6: '共青团', 7: '妇联', 8: '工商联', 9: '非正式的联谊组织（社区、网络、沙龙等）', 10: '宗教、信仰团体', 11: '私营企业主协会', 12: '个体劳动者协会', 77: '其他正式注册的社会团体（行业协会、学会)', 78: '没有参加上述任何组织'}",__fuzzy__
cfps2010adult_202008.dta,qa7_s_2,您参加了以下哪些组织：选择2,"{-10: '无法判断', -9: '缺失', -8: '不适用', -2: '拒绝回答', -1: '不知道', 1: '中国共产党', 2: '民主党派', 3: '县/区和县/区级以上人大（代表）', 4: '县/区和县/区级以上政协（委员）', 5: '工会', 6: '共青团', 7: '妇联', 8: '工商联', 9: '非正式的联谊组织（社区、网络、沙龙等）', 10: '宗教、信仰团体', 11: '私营企业主协会', 12: '个体劳动者协会', 77: '其他正式注册的社会团体（行业协会、学会)', 78: '没有参加上述任何组织'}",__fuzzy__
cfps2010adult_202008.dta,qa7_s_3,您参加了以下哪些组织：选择3,"{-10: '无法判断', -9: '缺失', -8: '不适用', -2: '拒绝回答', -1: '不知道', 1: '中国共产党', 2: '民主党派', 3: '县/区和县/区级以上人大（代表）', 4: '县/区和县/区级以上政协（委员）', 5: '工会', 6: '共青团', 7: '妇联', 8: '工商联', 9: '非正式的联谊组织（社区、网络、沙龙等）', 10: '宗教、信仰团体', 11: '私营企业主协会', 12: '个体劳动者协会', 77: '其他正式注册的社会团体（行业协会、学会)', 78: '没有参加上述任何组织'}",__fuzzy__
